Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,9249781,T.Ikeda,"2024-06-09 22:47:27",1.00000,1,ikedatsutom
2,6924412,ChaeELee,"2024-06-10 07:49:20",1.00000,1,chaeelee
3,12233776,zczc729,"2024-06-10 08:54:20",1.00000,9,zczc729
4,12232125,"Akshat Pande","2024-06-10 13:12:59",1.00000,4,akshat9pande
5,12234376,YuntechIM_B11123055,"2024-06-11 08:47:55",1.00000,4,yuntechimb11123055
6,12246082,lkxlkx,"2024-06-13 08:58:36",1.00000,5,lkxlkx
7,12231222,YuntechIM_B11123210,"2024-06-13 14:52:41",1.00000,9,yuntechimb11123210
8,12251773,YuntechIM_B11123216,"2024-06-13 15:43:06",1.00000,1,yuntechimb11123216
9,12251782,YuntechIM_B11123225,"2024-06-13 15:44:46",1.00000,1,yuntechimb11123225
10,12261190,"shiling yan","2024-07-17 06:55:16",1.00000,4,shilingyan
11,12264762,jaina,"2024-06-16 11:22:38",1.00000,6,jainaru
12,10152348,"Allan Pereira Fenelon","2024-06-16 18:38:33",1.00000,2,allanpereirafenelon
13,10785404,Junlaii,"2024-06-25 06:46:26",1.00000,35,junlaii
14,12276690,"Sudarsh Chaturvedi","2024-06-18 17:04:27",1.00000,1,danlesnar
15,12172048,"Khalil Alaei","2024-08-07 05:16:18",1.00000,6,khalilalaei
16,2342637,WalterDiMiscio,"2024-06-20 13:00:36",1.00000,5,wmiscio
17,12285518,aribaalii90,"2024-06-20 13:24:04",1.00000,1,aribaaliiiii
18,12285544,Duck2333,"2024-06-21 15:54:52",1.00000,11,yangkuo
19,12144570,"Navin Dasgupta","2024-06-21 21:05:53",1.00000,11,navindasgupta
20,4147843,"Momo L'As","2024-06-29 11:20:18",1.00000,5,momolas99
21,9311915,"Joonoh Park","2024-07-12 08:22:34",1.00000,9,joonohpark
22,12309527,"Ram Prakash Sutihar","2024-06-26 06:12:23",1.00000,1,ramprakashsutihar
23,8968160,"Mudit Gaur","2024-07-10 18:45:13",1.00000,8,gmudit
24,12253563,"Seiru Inoue","2024-07-04 00:00:14",1.00000,9,seiruinoue
25,11979057,"[Deleted] c006a48d-ae8e-40f7-8ae8-413570af1542","2024-07-03 04:08:27",1.00000,23,del=f170f86d7197005f
26,12087228,"Ярослав Дмитриевич","2024-07-01 15:52:01",1.00000,2,yakholodov
27,12316318,"Peter Meshkov","2024-06-28 14:28:26",1.00000,11,petermeshkov
